Indirizzo;Latitudine;Longitudine;Attiva;ZonaDec
Largo Aldo De Benedetti 1;9,194352;45,485856;1;9
Ospedale Maggiore 3;9,189571;45,509237;1;9
Piazza Schiavone;9,164463;45,499812;1;9
Piazza XXV aprile / corso Como;9,186918;45,48076;1;1
Piazza XXV aprile 8;9,187853;45,480001;1;1
Piazzale Egeo / Greco FS;9,214118;45,513172;1;9
Piazzale Maciachini;9,184999;45,49779;1;9
Piazzale Martiri della deportazione;9,180463;45,528488;1;9
Piscina Scarioni;9,194511;45,510395;1;9
Porta Garibaldi;9,187472;45,483464;1;1
Stazione M3  Affori Centro;9,174196;45,513399;1;9
Stazione M3 Comasina;9,161918;45,53175;1;9
via Baldinucci 76;9,168962;45,503482;1;9
via Bernardino da Novate 4;9,166295;45,525797;1;9
via Bovisasca 173;9,155636;45,516865;1;9
via Brivio Cesare 4;9,177311;45,5038;1;9
via Ciriﬁ 9;9,195619;45,511272;1;9
via Gregorovius 15;9,199252;45,513771;1;9
via Guerzoni Giuseppe 38;9,175696;45,50016;1;9
via Livigno 3;9,178144;45,501515;1;9
via Ornato (capolinea metrotramvia 4);9,192037;45,524832;1;9
via Passerini 5/7;9,193203;45,515331;1;9
via Paulucci De' Calboli 1;9,192344;45,515455;1;9
via Pietro Borsieri 4;9,188611;45,486643;1;9
via Pirelli 39;9,195246;45,484336;1;9
via privata Catone 24;9,170811;45,498634;1;9
via Raffaello Giolli 29;9,210533;45,526874;1;9
via Sant'Arnaldo 17;9,176758;45,525393;1;9
via Val di Bondo 13;9,161071;45,525349;1;9
via Volturno 32;9,191356;45,487309;1;9
via Zubiani 1;9,184938;45,507326;1;9
viale Luigi Sturzo 49;9,185682;45,484202;1;9
viale Monte Grappa 8;9,190949;45,480642;1;9
Villa Litta;9,168393;45,516914;1;9
Parco Trevi;9,180091;45,507565;1;9
Piazzale Lugano;9,165001;45,497368;1;9
via Siro Capsoni 6/via Acerbi;9,173584;45,527742;1;9
Corso Como   11;9,1873491;45,4822694;1;9
