Anno_evento;Luogo_matrimonio;Rito;Stato_civile_marito;Stato_civile_moglie;Cittadinanza_marito;Cittadinanza_moglie;Eta_marito;Eta_moglie;Numerosità;Residenza_moglie;Residenza_marito;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;24;28;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;23;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;24;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;25;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;26;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;28;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;21;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;22;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;23;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;24;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;25;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;26;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;27;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;28;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;26;31;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;20;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;21;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;23;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;24;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;25;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;26;8;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;27;5;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;28;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;29;6;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;30;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;27;34;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;18;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;21;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;24;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;25;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;26;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;27;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;28;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;29;5;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;30;8;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;28;37;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;21;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;23;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;25;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;26;6;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;27;8;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;28;10;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;29;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;30;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;31;5;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;33;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;34;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;38;1;Milano;Italia;;;;;;;;
