Cittadinanza;Genere;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Lussemburgo;Maschi;11;9;10;10;7;0;11;10;8;8;9;8;10;10;9;12;8;5;4;2;3;3;4;4;4;4;4;4
Macedonia, ex Rep. Jugoslava;Femmine;0;0;0;0;0;0;0;4;10;17;6;5;21;29;43;45;45;55;75;80;88;80;82;80;83;88;87;78
Macedonia, ex Rep. Jugoslava;Maschi;0;0;0;0;0;0;0;7;19;34;10;10;45;54;65;72;48;64;77;80;85;81;77;84;83;90;82;72
Madagascar;Femmine;4;5;3;3;8;0;0;10;9;11;12;14;12;14;15;15;12;12;13;14;12;11;11;10;10;12;11;13
Madagascar;Maschi;2;2;2;2;3;0;0;2;2;2;1;1;2;1;1;1;0;0;0;0;0;1;1;2;3;5;4;4
Malawi;Femmine;0;0;0;0;8;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Malawi;Maschi;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
Malaysia;Femmine;2;4;3;5;4;0;8;9;8;10;11;14;14;15;17;20;12;17;19;20;20;17;17;18;20;22;23;11
Malaysia;Maschi;10;12;11;12;3;0;20;21;17;18;20;21;20;20;19;18;9;10;13;14;15;14;13;13;14;17;17;10
Maldive;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Maldive;Maschi;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Mali;Femmine;1;1;1;2;5;0;5;5;6;5;8;11;12;15;16;15;17;16;17;18;18;18;14;13;16;18;16;15
Mali;Maschi;0;1;2;3;1;0;11;12;10;9;9;11;13;16;15;13;10;12;14;19;21;24;29;27;35;93;102;141
Malta;Femmine;14;14;15;17;11;0;17;16;15;13;11;7;6;8;6;9;8;5;6;9;9;11;7;8;11;15;13;13
Malta;Maschi;7;8;7;8;4;0;9;11;9;9;15;14;15;15;14;13;10;11;15;16;18;20;18;19;21;23;23;11
Marocco;Femmine;105;117;128;193;186;330;406;494;611;737;908;1171;1295;1456;1674;1781;1655;1959;2317;2522;2614;2707;2947;3199;3413;3737;3844;3849
Marocco;Maschi;316;409;428;1002;414;2461;2631;2736;2683;2875;3493;4082;4202;4393;4654;4167;2859;3350;3750;3928;4049;4042;4193;4419;4658;4983;4964;4486
Mauritania;Femmine;0;0;0;1;13;0;1;1;0;0;0;0;1;1;1;1;1;1;1;2;2;2;2;2;4;5;4;5
Mauritania;Maschi;0;0;0;1;5;0;2;2;0;0;2;3;4;5;7;5;3;4;4;7;7;8;11;21;22;26;23;29
Maurizio;Femmine;56;69;79;100;125;0;211;247;274;290;329;400;441;510;588;613;590;646;690;703;697;688;689;694;710;730;693;625
Maurizio;Maschi;30;43;49;62;97;0;184;208;224;242;282;367;419;478;536;560;532;579;594;601;614;604;610;625;639;657;633;569
Messico;Femmine;38;43;43;52;56;0;84;94;104;94;95;102;105;115;125;128;82;99;113;123;114;117;125;136;160;178;167;161
Messico;Maschi;44;47;43;47;29;0;60;61;55;54;53;56;59;64;67;68;39;46;57;63;62;55;69;76;90;97;92;81
Moldavia;Femmine;0;0;0;0;0;0;0;0;0;1;2;8;13;33;61;115;197;630;824;891;899;1065;1413;1766;2214;2478;2390;2320
Moldavia;Maschi;0;0;0;0;0;0;0;0;0;1;2;3;3;8;17;30;58;225;327;388;365;389;504;628;757;899;898;875
Monaco;Femmine;0;0;0;0;7;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
Monaco;Maschi;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
Mongolia;Femmine;0;0;0;0;3;0;1;0;2;2;2;2;3;3;4;5;3;5;4;3;3;3;3;4;8;8;7;8
Mongolia;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;3;3;3;3;5;4;8;12;10;11
Montenegro;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;11;76;75;65
Montenegro;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;17;92;91;82
Mozambico;Femmine;1;2;3;5;2;0;5;5;5;5;4;4;4;6;7;7;4;4;4;5;4;4;4;4;4;4;3;3
Mozambico;Maschi;5;6;4;4;1;0;6;5;5;5;5;5;4;5;5;5;1;1;4;4;5;5;4;3;3;3;2;3
Myanmar (Birmania);Femmine;1;1;1;1;1;0;4;4;6;6;6;7;7;8;8;7;6;5;7;7;6;6;7;9;10;15;13;9
Myanmar (Birmania);Maschi;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;0;0;0;0;0;0;1;1;1;4;4;4
Namibia;Femmine;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namibia;Maschi;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nepal;Femmine;1;1;2;1;1;0;2;3;3;3;4;4;6;4;7;5;6;8;13;15;18;19;25;28;30;35;42;50
Nepal;Maschi;2;3;4;5;5;0;5;6;7;9;10;13;11;13;18;19;16;24;28;27;28;28;29;33;36;49;59;81
Nicaragua;Femmine;4;5;6;7;11;0;12;13;14;13;15;15;14;14;14;14;10;16;20;19;19;18;19;22;28;32;34;32
Nicaragua;Maschi;4;4;4;3;4;0;2;1;1;3;3;3;3;3;3;3;3;3;3;0;0;0;2;3;6;6;9;10
Niger;Femmine;0;0;0;0;1;0;0;0;0;0;2;2;2;3;3;3;3;6;5;5;4;4;4;4;5;8;7;5
Niger;Maschi;1;1;1;1;2;0;1;2;2;2;3;2;2;1;1;0;0;0;3;5;5;5;8;8;7;14;17;19
Nigeria;Femmine;17;18;19;19;11;0;27;28;30;34;74;136;144;225;281;304;230;263;287;263;251;248;252;275;286;317;297;283
Nigeria;Maschi;36;37;38;41;12;0;52;55;54;57;63;73;81;110;125;117;85;88;101;117;144;146;152;179;180;237;229;199
Norvegia;Femmine;10;11;11;13;18;0;21;28;28;30;34;42;44;47;55;53;28;32;34;36;41;40;42;47;47;44;42;28
Norvegia;Maschi;15;15;16;18;17;0;18;19;20;19;16;17;18;19;27;32;25;24;29;27;26;27;27;30;32;33;26;15
Nuova Zelanda;Femmine;5;6;5;6;12;0;8;8;8;8;7;8;11;13;13;15;10;11;11;12;14;13;12;10;10;10;8;4
Nuova Zelanda;Maschi;8;8;6;7;7;0;10;9;9;8;7;6;8;8;9;10;7;10;12;11;12;13;14;15;14;14;17;11
Oman;Femmine;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oman;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paesi Bassi;Femmine;131;149;165;201;122;0;217;224;229;229;228;250;254;270;285;279;173;179;207;211;216;235;240;246;254;267;229;204
Paesi Bassi;Maschi;151;157;167;173;94;0;200;208;199;215;225;245;248;266;284;277;159;156;169;165;169;180;197;200;188;219;191;165
Pakistan;Femmine;6;6;8;10;4;0;9;15;28;32;50;87;107;134;147;160;149;164;188;208;216;225;258;285;297;343;358;357
Pakistan;Maschi;42;64;76;99;111;0;362;369;346;367;422;510;537;617;760;752;486;575;644;664;683;664;692;752;823;974;1021;971
Panama;Femmine;3;4;6;7;6;0;36;37;35;36;34;35;34;38;34;32;14;12;16;13;13;13;12;14;15;16;16;13
Panama;Maschi;8;9;7;7;4;0;8;7;8;9;9;9;9;11;11;9;8;10;11;11;12;9;10;11;11;14;13;10
Paraguay;Femmine;5;5;7;8;4;0;11;14;11;12;12;16;17;19;19;21;15;16;18;20;22;25;31;36;52;65;67;56
Paraguay;Maschi;2;1;1;0;2;0;2;2;2;2;2;5;5;8;10;9;7;6;10;9;10;9;8;10;15;19;21;19
Perù;Femmine;88;112;122;228;340;435;622;739;916;1236;2224;3751;4221;5031;5645;5828;5637;7805;8455;8625;8535;8577;9430;10745;11925;12661;12617;12053
Perù;Maschi;37;50;54;133;244;281;339;371;441;602;1201;2069;2434;2934;3391;3553;3414;4833;5329;5579;5535;5526;6156;6927;7730;8481;8554;8409
Polonia;Femmine;98;109;116;110;83;0;167;182;186;183;195;257;273;313;364;378;316;430;566;611;658;709;804;854;909;961;920;829
Polonia;Maschi;88;86;88;86;40;0;98;100;104;106;104;116;118;123;128;117;62;84;109;130;147;168;192;208;223;232;233;202
Portogallo;Femmine;74;90;88;100;79;0;204;223;234;237;248;265;270;271;294;278;177;187;201;196;203;222;245;247;259;279;251;210
Portogallo;Maschi;45;51;58;66;44;0;133;144;151;146;161;172;174;177;194;176;101;106;122;127;139;151;175;175;186;207;187;154
Regno Unito;Femmine;1065;1123;1139;1171;572;1287;1330;1367;1358;1342;1370;1482;1503;1528;1632;1556;758;799;875;899;900;919;987;997;1041;1090;1006;757
Regno Unito;Maschi;1067;1121;1145;1188;505;1285;1325;1340;1352;1328;1391;1455;1504;1511;1608;1537;742;764;827;851;881;891;946;963;1015;1046;947;733
Romania;Femmine;99;107;104;120;99;0;245;267;304;333;366;480;573;809;1041;1199;1363;2254;2787;3106;4173;5109;6099;6650;7093;8092;8228;8224
Romania;Maschi;90;92;89;98;51;0;197;217;237;259;368;538;631;943;1219;1294;1264;2367;2749;2845;3735;4510;5145;5504;5608;6317;6279;5983
Ruanda;Femmine;5;5;5;5;0;0;5;6;9;10;10;12;15;14;14;14;4;5;8;8;12;11;13;12;9;10;10;8
Ruanda;Maschi;6;6;6;6;1;0;7;7;8;8;9;10;11;11;12;13;4;3;4;5;7;7;11;10;8;10;9;11
Russa, Federazione;Femmine;0;0;0;0;0;0;0;0;164;187;172;278;312;371;478;522;471;600;740;794;786;811;891;983;1137;1378;1485;1490
Russa, Federazione;Maschi;0;0;0;0;0;0;0;0;82;94;90;129;150;153;165;148;109;137;156;174;165;171;181;183;203;249;265;273
Saint Kitts e Nevis;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Saint Lucia;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salomone;Femmine;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Marino;Femmine;48;49;45;45;28;0;40;40;36;34;31;32;33;32;29;29;27;26;25;23;22;22;22;21;20;19;18;14
San Marino;Maschi;32;31;29;27;23;0;30;28;25;23;22;23;22;21;19;20;20;20;22;20;21;22;22;24;22;23;22;21
Sao Tomè e Principe;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Sao Tomè e Principe;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Seicelle;Femmine;54;68;67;71;37;0;81;77;78;80;77;79;78;82;85;77;47;51;49;45;45;45;39;38;39;41;35;33
Seicelle;Maschi;9;11;14;15;10;0;15;16;16;18;19;21;20;21;26;27;22;22;21;19;18;18;17;18;19;20;17;8
Senegal;Femmine;8;10;10;19;16;31;36;37;42;47;54;62;72;94;113;100;80;99;119;141;136;145;176;207;244;308;336;344
Senegal;Maschi;61;84;84;245;148;564;632;649;642;676;1094;1509;1583;1908;2031;1866;1230;1597;1672;1694;1644;1584;1609;1697;1880;2077;2114;1970
Serbia;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;577;572;545;364;354;291
Serbia;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;535;530;488;290;272;218
Sierra Leone;Femmine;6;6;8;10;10;0;17;18;18;17;18;15;15;17;17;18;13;13;12;12;13;14;13;17;15;15;15;11
Sierra Leone;Maschi;12;13;14;16;11;0;18;18;22;20;21;21;18;22;27;28;20;23;27;34;32;33;30;31;26;27;23;16
Singapore;Femmine;3;4;3;3;8;0;5;6;7;7;8;7;7;8;9;7;5;6;5;4;4;6;9;9;9;11;14;13
Singapore;Maschi;3;4;3;4;2;0;6;6;7;8;9;9;9;10;9;8;7;10;11;10;11;12;15;15;15;14;14;13
Siria;Femmine;38;40;39;36;32;0;39;43;43;43;48;56;55;62;67;76;70;68;77;86;84;79;78;94;94;98;97;103
Siria;Maschi;72;77;75;73;59;0;118;115;115;116;131;146;153;161;187;176;126;163;189;202;208;208;216;225;236;265;270;234
Slovacchia;Femmine;0;0;0;0;0;0;0;0;0;0;5;11;15;23;34;52;59;77;98;107;122;130;134;138;147;152;134;130
Slovacchia;Maschi;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;7;7;11;17;17;15;18;20;21;25;27;26;23
Slovenia;Femmine;0;0;0;0;0;0;4;11;9;10;10;13;14;15;16;12;10;12;16;17;19;22;28;32;32;40;35;26
Slovenia;Maschi;0;0;0;0;0;0;6;9;10;13;12;14;14;16;14;14;9;6;6;6;11;12;23;27;28;35;31;27
Somalia;Femmine;47;53;60;74;155;0;354;437;532;574;604;718;769;796;798;749;271;280;283;278;272;266;258;262;242;242;228;114
Somalia;Maschi;72;74;84;93;78;0;256;298;316;329;343;391;445;468;480;448;182;186;194;195;194;181;198;280;261;255;226;129
Spagna;Femmine;433;506;549;572;365;662;708;760;806;826;862;960;978;1024;1163;1170;783;865;976;1032;1058;1112;1186;1250;1329;1435;1373;1131
Spagna;Maschi;333;369;379;385;171;442;460;462;460;464;497;534;537;556;620;602;287;325;381;405;430;443;492;538;586;658;614;508
Sri Lanka (Ceylon);Femmine;108;130;166;227;247;410;550;709;888;1006;1259;1749;2073;2458;2926;3286;3096;3598;4108;4370;4512;4753;5290;5731;6215;6863;7113;7059
Sri Lanka (Ceylon);Maschi;200;247;289;408;439;814;1035;1231;1474;1670;2198;2875;3122;3660;4293;4574;4042;5103;5764;5948;6088;6334;7058;7609;8297;9262;9354;8838
Stati Uniti d'America;Femmine;809;815;801;837;471;904;926;949;951;911;931;967;964;969;1031;994;456;489;528;551;565;576;601;616;648;715;690;548
Stati Uniti d'America;Maschi;834;823;822;840;379;867;876;897;875;837;854;864;862;881;917;883;359;383;420;433;447;454;464;489;502;522;495;358
Sud Africa;Femmine;20;23;23;23;11;0;23;23;24;19;18;17;17;18;19;21;12;14;17;18;16;11;13;15;13;18;17;12
Sud Africa;Maschi;25;25;24;23;10;0;23;24;23;21;22;22;23;23;25;24;14;14;14;18;20;22;24;25;18;21;19;17
Sudan;Femmine;5;5;5;3;5;0;3;3;4;4;5;7;11;12;17;13;14;16;18;21;22;20;22;20;20;23;22;14
Sudan;Maschi;20;20;19;19;12;0;38;42;42;41;43;48;52;55;58;47;37;39;48;92;125;101;90;102;86;100;83;54
Suriname;Maschi;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Svezia;Femmine;75;75;77;82;50;0;90;110;123;125;135;153;166;178;204;201;121;134;159;169;173;183;197;205;213;223;188;130
Svezia;Maschi;64;67;66;68;37;0;71;81;79;73;78;89;88;96;115;123;73;79;86;89;102;103;110;117;126;129;100;67
Svizzera;Femmine;1017;987;952;924;521;852;823;798;771;738;729;730;709;687;685;646;414;397;402;394;385;378;385;380;380;371;332;276
Svizzera;Maschi;1011;1006;1001;971;499;920;896;888;860;834;832;819;787;777;784;738;469;463;464;467;458;445;456;448;436;437;401;354
Swaziland;Femmine;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Swaziland;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tagikistan;Femmine;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;3;3
Tagikistan;Maschi;0;0;0;0;0;0;0;0;0;0;3;3;3;3;4;4;4;6;6;5;3;3;6;6;8;8;8;7
Taiwan (Formosa);Femmine;42;41;44;47;15;0;56;56;76;73;27;24;81;83;85;80;18;19;28;31;34;35;42;44;48;54;56;40
Taiwan (Formosa);Maschi;35;34;33;32;7;0;36;37;44;46;17;11;50;52;57;46;14;12;16;18;20;20;22;23;23;23;23;14
Tanzania;Femmine;5;3;3;3;1;0;4;7;7;4;5;6;6;6;7;6;4;4;3;4;4;4;7;7;7;9;6;9
Tanzania;Maschi;6;3;3;5;5;0;5;6;6;6;6;8;8;9;9;7;6;6;7;9;9;10;9;9;9;9;8;8
Territori Autonomia Palestinese;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;2;2;2;3;7;7;6;6
Territori Autonomia Palestinese;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;3;10;19;23;23;22;30;38;41;36;32;32
Thailandia;Femmine;31;32;34;35;31;0;56;51;52;50;52;64;64;69;80;81;59;64;85;89;104;112;126;148;166;198;188;187
Thailandia;Maschi;4;5;3;3;7;0;6;6;7;7;9;10;12;14;17;12;8;10;12;13;14;17;21;19;20;23;24;19
Togo;Femmine;1;1;1;1;2;0;4;5;4;4;4;6;8;8;14;17;18;27;31;43;41;42;42;45;37;38;35;40
Togo;Maschi;5;5;5;1;1;0;4;4;5;6;8;10;11;13;13;19;23;43;79;117;98;81;77;84;81;80;74;77
Trinidad e Tobago;Femmine;3;2;2;2;3;0;4;5;5;6;6;6;6;6;6;8;3;3;3;3;3;4;4;6;5;5;3;2
Trinidad e Tobago;Maschi;2;2;2;4;2;0;5;5;6;6;6;6;6;6;6;6;1;1;2;2;2;2;2;1;1;1;1;1
Tunisia;Femmine;47;51;66;82;77;136;142;160;173;182;206;239;250;280;294;310;257;304;348;377;379;401;432;461;470;502;499;470
Tunisia;Maschi;161;191;208;292;222;682;761;801;797;805;876;975;979;1034;1147;1083;713;860;946;995;1032;1067;1100;1131;1157;1255;1250;1058
Turchia;Femmine;240;240;246;252;146;286;303;322;316;316;332;378;378;399;455;456;350;380;414;419;433;428;444;472;506;558;595;546
Turchia;Maschi;270;286;296;314;178;410;419;442;429;423;473;556;568;595;657;640;440;544;607;615;622;610;617;646;666;737;773;676
Turkmenistan;Femmine;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;3;3;2;2;2;3;2;2;1;2
Turkmenistan;Maschi;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;3;3;2;2;2;2;2;3;4;2
Tuvalu;Femmine;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ucraina;Femmine;0;0;0;0;0;0;0;0;2;3;16;32;46;87;165;230;477;1722;2382;2820;2948;3187;3907;4675;5640;6324;6414;6444
Ucraina;Maschi;0;0;0;0;0;0;0;0;0;0;4;14;22;45;76;79;90;370;573;672;683;731;881;1053;1273;1496;1537;1522
Uganda;Femmine;0;0;0;0;2;0;1;1;1;1;2;3;2;3;3;4;3;4;4;4;6;8;8;8;7;9;8;9
Uganda;Maschi;1;1;1;1;5;0;2;3;5;5;5;7;6;8;6;5;3;4;3;8;8;7;6;6;6;4;6;7
Ungheria;Femmine;92;92;85;78;45;0;85;96;95;103;107;108;105;121;130;130;80;92;109;115;122;134;148;155;165;177;165;165
Ungheria;Maschi;79;85;82;76;33;0;71;70;66;62;62;60;58;59;57;54;18;20;23;29;34;33;38;37;40;43;41;39
Uruguay;Femmine;49;60;54;89;73;0;117;126;121;122;127;150;145;153;171;163;90;102;119;117;122;114;122;123;132;137;127;82
Uruguay;Maschi;57;56;60;86;52;0;91;87;87;86;88;93;94;98;101;89;39;47;54;50;55;54;56;57;61;70;64;39
Uzbekistan;Femmine;0;0;0;0;0;0;0;0;0;1;1;4;5;6;9;8;10;14;13;16;15;13;15;21;18;26;24;26
Uzbekistan;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;3;4;4;3;4;10;11
Venezuela;Femmine;39;36;37;41;47;0;61;62;64;71;75;92;102;127;146;150;116;138;150;161;149;149;165;179;191;223;230;228
Venezuela;Maschi;57;55;50;50;36;0;62;60;60;58;60;65;68;77;85;78;48;68;86;91;92;99;118;124;125;135;125;115
Vietnam;Femmine;8;8;8;7;8;0;12;13;10;10;2;2;8;9;11;9;3;5;4;5;6;5;6;7;8;8;8;11
Vietnam;Maschi;38;38;37;34;10;0;31;32;30;28;2;2;19;19;19;14;2;3;5;5;10;9;17;17;16;14;14;10
Yemen;Femmine;0;0;0;0;1;0;2;2;2;2;2;2;2;2;2;3;1;1;1;1;1;1;1;1;1;0;0;0
Yemen;Maschi;4;4;4;5;2;0;4;4;4;4;4;4;4;4;4;4;2;2;2;3;3;3;3;3;4;1;1;0
Zambia;Femmine;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;3;4;3;4;4;4;4
Zambia;Maschi;1;1;2;2;0;0;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;1;2;4;6;5
Zimbabwe (Rhodesia);Femmine;0;0;0;0;2;0;1;2;1;2;3;3;3;3;3;2;0;1;1;1;1;2;2;1;1;2;3;3
Zimbabwe (Rhodesia);Maschi;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;5;4;7;6;6
Afghanistan;Femmine;6;6;6;6;1;0;6;6;4;4;4;4;4;4;4;4;0;0;1;1;1;1;1;2;2;6;2;5
Afghanistan;Maschi;7;7;6;6;6;0;6;7;5;5;5;5;5;6;5;6;3;3;10;14;22;30;59;102;99;159;146;193
Albania;Femmine;7;7;7;7;19;0;62;95;128;162;255;451;564;840;1166;1339;1286;1570;1845;1999;2045;2070;2266;2429;2531;2705;2700;2654
Albania;Maschi;15;13;12;12;43;0;180;243;310;369;582;916;1012;1365;1831;1901;1575;2102;2428;2476;2484;2538;2746;2854;2910;3100;3046;2708
Algeria;Femmine;20;19;20;22;18;0;34;41;40;44;45;57;68;70;82;91;92;105;124;143;154;164;190;213;210;216;207;191
Algeria;Maschi;54;62;68;80;38;0;184;198;195;207;271;395;410;449;512;457;286;345;396;406;420;435;441;454;457;462;426;329
Altre nazioni o n.d.;Femmine;72;67;65;61;0;74;10;56;51;45;0;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Altre nazioni o n.d.;Maschi;96;97;96;94;0;127;5;88;81;75;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Andorra;Maschi;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Femmine;0;0;0;3;8;0;8;9;9;10;13;12;14;16;23;26;23;22;20;17;16;15;18;17;18;25;24;23
Angola;Maschi;1;1;2;5;12;0;17;19;21;19;20;25;27;23;30;35;30;32;30;29;30;26;27;27;27;27;27;23
Antigua e Barbuda;Femmine;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua e Barbuda;Maschi;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apolide;Femmine;26;26;25;23;0;0;19;21;19;15;15;15;11;9;9;9;2;2;2;2;2;2;2;2;2;2;5;5
